indice_tiempo,ternero($/kg),novillo($/kg),dolar($/U$S),IPIM,maiz($/ton),salario($/mes),vaca_conserva($/cab),vaquillona_preniada($/cab),novillo(kg)/maiz(t),novillo(kg)/ternero(kg),ternero(kg)/salario_mensual($),vaquillona(cab)/vacaconserva(cab),cria_csalado($/ha),invernada_subhumeda_alta_prod($/ha),feedlot($/cab)
2011-07,11.95,8.24,4.16,112.43,717.8,2210,1816,4750,87.11,1.45,184.94,2.62,724,984,256
2011-08,12,8.58,4.2,114.54,696.8,2210,1896,4859,81.22,1.4,184.17,2.56,726,1429,299
2011-09,12.5,8.55,4.21,116.7,689.8,2762,2084,3800,80.64,1.46,220.98,1.82,734,962,216
2011-10,12.3,8.6,4.25,118.44,656.8,2762,2140,3800,76.37,1.43,224.57,1.78,766,943,290
2011-11,12.25,8.67,4.26,120.15,607.8,2762,1956,4475,70.1,1.41,225.49,2.29,721,1268,303
2011-12,12.5,8.2,4.27,122.43,590,2762,1788,4250,71.95,1.52,220.98,2.38,682,1058,392
2012-01,11.13,7.96,4.32,124.75,578.4,2763,1652,4200,72.66,1.4,248.25,2.54,636,1216,298
2012-02,10.88,8.4,4.34,126.81,740.9,2763,2208,3175,88.2,1.3,253.95,1.44,678,2095,582
2012-03,11.88,9.57,4.35,129.74,678.8,2763,1772,3175,70.93,1.24,232.58,1.79,702,2564,746
2012-04,12.25,9.59,4.39,132.55,705.2,2763,1588,4200,73.53,1.28,225.55,2.64,691,2663,900
2012-05,11.75,9.5,4.45,134.81,705.2,2763,1632,4150,74.23,1.24,235.15,2.54,688,2673,903
2012-06,12,9.6,4.49,137.01,706.1,2763,1536,4150,73.55,1.25,230.25,2.7,668,2686,1060
2012-07,12.25,8.55,4.54,139.42,683.4,2763,1588,4150,79.93,1.43,225.55,2.61,680,1255,689
2012-08,12.25,8.5,4.6,142.08,727.3,2763,1816,4225,85.57,1.44,225.55,2.33,708,1429,359
2012-09,12.25,8.48,4.66,144.83,783.4,2763,1820,4225,92.38,1.44,225.55,2.32,723,287,25
2012-10,12.21,8.2,4.72,147.46,830,3316,1824,4300,101.22,1.49,271.58,2.36,690,662,99
2012-11,12.29,8.24,4.78,150.13,850,3316,1736,4200,103.16,1.49,269.81,2.42,679,-30,60
2012-12,12.5,8.63,4.86,153.28,926,3581,1612,4150,107.27,1.45,286.48,2.57,679,420,147
2013-01,12.1,9.15,4.93,157.24,948,3581,1672,4200,103.61,1.32,295.95,2.51,650,1039,410
2013-02,12.7,10.38,5.01,159.17,947.8,3581,1752,4400,91.31,1.22,281.97,2.51,690,1801,512
2013-03,12.09,9.91,5.07,161.62,923.6,3581,1772,4429,93.2,1.22,296.2,2.5,661,1798,546
2013-04,11.29,9.85,5.16,164.08,923,3581,1652,4534,93.71,1.15,317.18,2.74,611,2198,818
2013-05,11.9,9.58,5.2,166.66,879,3581,1600,4422,91.75,1.24,300.92,2.76,621,1340,677
2013-06,11.57,9.95,5.33,169.87,988,3581,1628,4020,99.3,1.16,309.51,2.47,650,1705,741
2013-07,11.4,9.63,5.44,174.2,1084,3581,1684,3800,112.56,1.18,314.12,2.26,647,1612,728
2013-08,12.22,9.95,5.58,177.88,929,3581,1812,4073,93.37,1.23,293.04,2.25,705,1429,626
2013-09,12.44,9.8,5.79,181.63,949.6,3581,1760,4060,96.9,1.27,287.86,2.31,737,1034,356
2013-10,13.2,10.15,5.85,185.27,862.2,4082,2032,4184,84.94,1.3,309.24,2.06,797,983,170
2013-11,16.22,11.73,6,189.71,941.1,4082,2556,4593,80.23,1.38,251.66,1.8,983,1203,-41
2013-12,16.55,11.82,6.31,196.12,1075.8,4082,2332,5500,91.01,1.4,246.65,2.36,1018,1027,96
2014-01,15.46,12.57,7.1,205.17,998,4491,2244,6200,79.4,1.23,290.49,2.76,922,2212,206
2014-02,17.31,14.99,7.86,213.99,1087,4491,2536,6769,72.54,1.16,259.45,2.67,1056,3604,747
2014-03,17.17,15.3,7.93,221.05,1242,4491,2280,6427,81.17,1.12,261.56,2.82,1027,3579,839
2014-04,17.26,15.54,8,227.19,1307.2,4491,2456,6263,84.12,1.11,260.2,2.55,1023,3565,995
2014-05,17.16,15.91,8.04,232.37,1414.8,4491,2536,6153,88.93,1.08,261.71,2.43,1000,3850,1249
2014-06,17.82,15.89,8.13,237.49,1430.4,4491,2434,6827,90.01,1.12,252.02,2.81,1030,4130,1302
2014-07,19.76,17.03,8.16,243.35,1250,4491,2628,6000,73.4,1.16,227.28,2.28,1170,3893,1154
2014-08,22.63,17.81,8.32,249.8,1115.7,4491,3316,5969,62.65,1.27,198.45,1.8,1401,3464,1111
2014-09,25.88,17.5,8.42,256.8,1023.6,4491,3996,7805,58.49,1.48,173.53,1.95,1559,1175,342
2014-10,24.55,16.33,8.48,262.57,929,5550,3976,8094,56.9,1.5,226.07,2.04,1489,584,139
2014-11,24.73,16.41,8.53,267.46,946.9,5550,3938,8800,57.69,1.51,224.42,2.23,1509,431,111
2014-12,23.3,16.25,8.55,272.46,1009.4,6001,3212,8425,62.12,1.43,257.55,2.62,1409,1067,419
2015-01,23.59,15.87,8.6,278.13,1009,6001,3429,8074,63.58,1.49,254.39,2.35,1428,893,380
2015-02,25.05,17.12,8.69,282.24,988.5,6001,3568,10131,57.74,1.46,239.56,2.84,1505,1461,459
2015-03,24.75,16.87,8.78,288.23,972.7,6001,3488,8685,57.66,1.47,242.46,2.49,1471,1556,620
2015-04,23.2,17.03,8.87,294.02,949.9,6001,3092,8725,55.78,1.36,258.66,2.82,1366,1907,930
2015-05,23.64,17.48,8.95,299.9,986.3,6001,3180,9598,56.42,1.35,253.85,3.02,1397,2540,1120
2015-06,24.51,18.16,9.04,304.49,993,6001,3200,8128,54.68,1.35,244.84,2.54,1456,3470,1138
2015-07,25.27,18.31,9.14,310.33,940.2,6001,3516,8315,51.35,1.38,237.48,2.36,1536,2502,1076
2015-08,26.57,18.81,9.24,317.07,917,6001,3772,8800,48.75,1.41,225.86,2.33,1638,2472,560
2015-09,28.35,19.16,9.37,323.16,894.5,6001,3964,8800,46.68,1.48,211.68,2.22,1748,1673,358
2015-10,29.86,20.04,9.49,328.07,913.6,7201,4151,9850,45.59,1.49,241.16,2.37,1821,1584,143
2015-11,35.2,21.88,9.63,335.29,1071.5,7201,4424,12031,48.97,1.61,204.57,2.72,2256,539,-301
2015-12,37.29,25.89,11.43,348.03,1240.6,7681,4508,13967,47.92,1.44,205.98,3.1,2257,3066,490
2016-01,35.22,24.42,13.65,379.35,1672,7681,4384,11621,68.47,1.44,218.09,2.65,2128,2003,103
2016-02,34.95,25.43,14.82,398.32,1993.3,7681,4728,12660,78.38,1.37,219.77,2.68,2182,2708,118
2016-03,35.26,26.43,14.9,407.88,2253.3,7681,4396,13955,85.25,1.33,217.84,3.17,2215,3500,411
2016-04,34.67,27.84,14.41,413.99,2190,7681,4752,13154,78.66,1.25,221.55,2.77,2234,5505,777
2016-05,34.6,29.05,14.14,428.9,2492,7681,4324,14117,85.78,1.19,221.99,3.26,2175,6389,1118
2016-06,35.86,30.32,14.14,441.34,2740,7681,4408,13473,90.37,1.18,214.19,3.06,2110,6331,922
2016-07,36.91,29.97,14.91,453.25,2852.3,7681,5136,14033,95.17,1.23,208.1,2.73,2189,5592,957
2016-08,38.28,29.94,14.85,455.07,2691.1,7681,5621,12406,89.89,1.28,200.65,2.21,2203,5636,758
2016-09,39.48,29.64,15.1,456.89,2377.3,9218,6064,14630,80.2,1.33,233.49,2.41,2280,4644,544
2016-10,38.87,28.82,15.18,459.63,2369.8,10370,5953,14575,82.23,1.35,266.79,2.45,2153,3752,420
2016-11,38.28,28.12,15.34,464.68,2478.2,10370,5955,14517,88.13,1.36,270.9,2.44,2145,2693,-159
2016-12,37.32,27.38,15.83,468.4,2585.2,10370,5400,13932,94.42,1.36,277.87,2.58,2103,2450,-159
2017-01,36.01,26.51,15.91,475.43,2627,10370,5596,11912,99.09,1.36,287.98,2.13,1960,2691,140
2017-02,36.73,28.7,15.6,483.51,2665,10370,5804,12743,92.86,1.28,282.33,2.2,2066,4154,434
2017-03,37.81,30.54,15.52,487.86,2440,10370,5645,13557,79.9,1.24,274.27,2.4,2110,6058,1127
2017-04,37.84,31.51,15.36,490.3,2320.7,10370,5372,13732,73.65,1.2,274.05,2.56,2105,7485,1760
2017-05,37.64,31.39,15.7,494.71,2335.3,10370,5287,13978,74.4,1.2,275.5,2.64,2029,6683,1155
2017-06,37.64,32.31,16.12,504.11,2379,10370,5286,14641,73.63,1.16,275.5,2.77,2047,8017,1221
2017-07,39.4,32.3,17.17,517.22,2250.5,10370,5928,13036,69.67,1.22,263.2,2.2,2188,6449,741
2017-08,42.83,33.78,17.42,527.05,2397.1,10370,6612,12338,70.96,1.27,242.12,1.87,2395,5832,-265
2017-09,44.45,33.46,17.25,532.32,2314.3,12651,7072,14056,69.17,1.33,284.61,1.99,2459,4566,-176
2017-10,44.88,32.86,17.45,540.3,2326,12651,7180,15385,70.79,1.37,281.89,2.14,2471,3454,-524
2017-11,45.21,33.03,17.49,548.41,2362.6,12651,7264,18221,71.53,1.37,279.83,2.51,2496,3198,-806
2017-12,44.26,32.44,17.7,557.18,2392.4,12651,6688,17834,73.75,1.36,285.83,2.67,2381,3271,-744
2018-01,43.11,31.47,19.03,582.81,2556.3,12651,6836,14863,81.23,1.37,293.46,2.67,2314,2883,-597
2018-02,43.92,34.53,19.84,610.79,2878,12651,7136,16117,83.35,1.27,288.05,2.17,2425,5219,-569
2018-03,42.04,33.41,20.24,622.39,3241.1,12651,6416,14493,97.01,1.26,300.93,2.26,2250,4104,-366
2018-04,40.33,33.16,21.23,633.59,3454,12651,6420,15722,104.16,1.22,313.69,2.26,2162,4062,-121
2018-05,45.03,36,23.67,681.11,3653,12651,6972,15662,101.47,1.25,280.95,2.45,2409,4045,-489
2018-06,44.82,39.19,26.53,725.39,4254,12651,7152,15354,108.55,1.14,282.26,2.25,2407,7252,387
2018-07,43.68,40.98,27.62,759.48,4258,12651,7652,15985,103.9,1.07,289.63,2.15,2388,9164,1395
2018-08,46.94,42.72,30.12,796.69,4598.6,15267,9600,17746,107.65,1.07,296.2,2.22,2689,9036,-244
2018-09,56.24,46.73,38.59,924.16,5213.2,15267,12428,23500,111.56,1.1,325.24,1.85,3275,5707,-1299
2018-10,52.13,44.76,37.12,951.89,4918.1,15908,12268,19882,109.88,1.2,271.46,1.89,3010,5669,-1318
2018-11,48.49,44.2,36.46,952.84,4789,15908,12185,21214,108.34,1.16,305.16,1.62,2851,7864,-1123
2018-12,49.6,46.23,37.89,965.23,5463.6,15908,11924,21099,118.18,1.1,328.07,1.74,2856,8644,-1265
2019-01,55.85,54.57,37.41,979.71,5545.9,16545,13064,22635,101.63,1.07,320.73,1.77,3316,13569,-307
2019-02,66.56,63.33,38.41,1004.03,5392.5,19101,13292,26511,85.15,1.05,286.97,1.99,3753,18116,1188
2019-03,64.58,63.79,41.36,1045.2,5797,19101,12836,24329,90.88,1.01,295.77,1.9,3629,17659,1049
2019-04,64.42,63.95,43.23,1093.28,5736.1,19101,12894,25042,89.7,1.01,296.51,1.94,3648,17474,1135
2019-05,69.03,62.19,44.93,1131.54,6396.6,19101,13197,25470,102.86,1.11,276.71,1.93,3886,12232,-614
2019-06,70.07,62.5,43.79,1166.35,6967.9,19101,13192,23511,111.49,1.12,272.6,1.78,4004,11033,-613
2019-07,67.2,62.37,42.54,1167.51,6293.3,19101,14244,25000,100.9,1.08,284.24,1.76,4032,14057,466
2019-08,79.38,66.8,52.73,1298.27,6648.8,23494,17896,34831,99.53,1.19,295.97,1.95,4674,10221,-1896
